Model Producer Name, Model Producer Ver., Model Domain, Model Filename, Model Name
keras2onnx,1.6.5,onnx,models/imagenet_inception_resnetv2.onnx,inception_resnetv2
,,,,
op_type,operations_flops,operations_multiply_adds,operations_additions,operations_comparisons,operations_divisions,operations_exponentials,memory_activations,memory_parameters,memory_other_memory
BatchNormalization,0,0,27648,0,27648,0,110592,1536,0
Relu,0,0,0,27648,0,0,110592,0,0
Concat,0,0,0,0,0,0,221184,0,0
Conv,120324096.0,60162048.0,0,0,0,0,626688,1675520.0,0
Transpose,0,0,0,0,0,0,0,0,0
Mul,313344,156672,0,0,0,0,0,0,0
Add,0,0,156672,0,0,0,0,0,0
Relu,0,0,0,156672,0,0,626688,0,0
Transpose,0,0,0,0,0,0,0,0,0
Conv,40108032.0,20054016.0,0,0,0,0,73728,557056.0,0
BatchNormalization,0,0,18432,0,18432,0,73728,1024,0
Relu,0,0,0,18432,0,0,73728,0,0
Conv,41287680.0,20643840.0,0,0,0,0,92160,573440.0,0
BatchNormalization,0,0,23040,0,23040,0,92160,1280,0
Relu,0,0,0,23040,0,0,92160,0,0
Conv,61931520.0,30965760.0,0,0,0,0,110592,860160.0,0
BatchNormalization,0,0,27648,0,27648,0,110592,1536,0
Relu,0,0,0,27648,0,0,110592,0,0
Transpose,0,0,0,0,0,0,0,0,0
Conv,60162048.0,30081024.0,0,0,0,0,110592,835584.0,0
BatchNormalization,0,0,27648,0,27648,0,110592,1536,0
Relu,0,0,0,27648,0,0,110592,0,0
Concat,0,0,0,0,0,0,221184,0,0
Conv,120324096.0,60162048.0,0,0,0,0,626688,1675520.0,0
Transpose,0,0,0,0,0,0,0,0,0
Mul,313344,156672,0,0,0,0,0,0,0
Add,0,0,156672,0,0,0,0,0,0
Relu,0,0,0,156672,0,0,626688,0,0
Transpose,0,0,0,0,0,0,0,0,0
Conv,40108032.0,20054016.0,0,0,0,0,73728,557056.0,0
BatchNormalization,0,0,18432,0,18432,0,73728,1024,0
Relu,0,0,0,18432,0,0,73728,0,0
Conv,41287680.0,20643840.0,0,0,0,0,92160,573440.0,0
BatchNormalization,0,0,23040,0,23040,0,92160,1280,0
Relu,0,0,0,23040,0,0,92160,0,0
Conv,61931520.0,30965760.0,0,0,0,0,110592,860160.0,0
BatchNormalization,0,0,27648,0,27648,0,110592,1536,0
Relu,0,0,0,27648,0,0,110592,0,0
Transpose,0,0,0,0,0,0,0,0,0
Conv,60162048.0,30081024.0,0,0,0,0,110592,835584.0,0
BatchNormalization,0,0,27648,0,27648,0,110592,1536,0
Relu,0,0,0,27648,0,0,110592,0,0
Concat,0,0,0,0,0,0,221184,0,0
Conv,120324096.0,60162048.0,0,0,0,0,626688,1675520.0,0
Transpose,0,0,0,0,0,0,0,0,0
Mul,313344,156672,0,0,0,0,0,0,0
Add,0,0,156672,0,0,0,0,0,0
Relu,0,0,0,156672,0,0,626688,0,0
Transpose,0,0,0,0,0,0,0,0,0
Conv,40108032.0,20054016.0,0,0,0,0,73728,557056.0,0
BatchNormalization,0,0,18432,0,18432,0,73728,1024,0
Relu,0,0,0,18432,0,0,73728,0,0
Conv,41287680.0,20643840.0,0,0,0,0,92160,573440.0,0
BatchNormalization,0,0,23040,0,23040,0,92160,1280,0
Relu,0,0,0,23040,0,0,92160,0,0
Conv,61931520.0,30965760.0,0,0,0,0,110592,860160.0,0
BatchNormalization,0,0,27648,0,27648,0,110592,1536,0
Relu,0,0,0,27648,0,0,110592,0,0
Transpose,0,0,0,0,0,0,0,0,0
Conv,60162048.0,30081024.0,0,0,0,0,110592,835584.0,0
BatchNormalization,0,0,27648,0,27648,0,110592,1536,0
Relu,0,0,0,27648,0,0,110592,0,0
Concat,0,0,0,0,0,0,221184,0,0
Conv,120324096.0,60162048.0,0,0,0,0,626688,1675520.0,0
Transpose,0,0,0,0,0,0,0,0,0
Mul,313344,156672,0,0,0,0,0,0,0
Add,0,0,156672,0,0,0,0,0,0
Relu,0,0,0,156672,0,0,626688,0,0
Transpose,0,0,0,0,0,0,0,0,0
Conv,40108032.0,20054016.0,0,0,0,0,73728,557056.0,0
BatchNormalization,0,0,18432,0,18432,0,73728,1024,0
Relu,0,0,0,18432,0,0,73728,0,0
Conv,41287680.0,20643840.0,0,0,0,0,92160,573440.0,0
